Matched nick	Level	Country	Is Payer	Duplicate?
Lethal Sons	108	FR	Yes	
Don__Kaos90	105	IT	Yes	
				
Iosif_Brodskiy	67	UZ	Yes	
aug0297	32	US	Yes	
jasiekgaming	84	PL	Yes	
ShadowWolfMage	58	US	Yes	
NickleFritz	72	US	Yes	
Ashtar	100	KZ	Yes	
				
MR.QuE0O	95	VN	Yes	
revotoro21	24	SE	No	
sharkhunter222	53	GB	No	
BatteMrBrams	93	FR	Yes	
Shojikina	74	HU	Yes	
Chewy2490	72	GB	Yes	
Rentoad	76	ID	Yes	
GALAXYXFORCE722	100	FR	Yes	
SpookieWookie	35		Yes	
MZ1909	92	DE	Yes	
GiganticBarnacleKozak	98	TR	Yes	
				
fumbles80	80	GB	No	
serpikko	61	IT	Yes	
thugkenndogg	104	US	Yes	
Katssuuuu	42	UA	Yes	
lisarob	25	IT	Yes	
Lilianna	2	DK	Yes	
				
Dwallitus	110	FR	Yes	
SandyLOVFesin	108	IN	Yes	
				
Franz-Feeder	110	IT	Yes	
rook[GER]	93	DE	Yes	
Iron_ReaP3r	57	US	Yes	
JzSage	73	US	Yes	
				
CeoPerantauLaut	103	MY	Yes	
ufyu__	66	US	Yes	
suckerfishgameing	81	US	Yes	
fish-destroyer4	42	GB	Yes	
karpik1234	6	PL	No	
				
				
EBH PHOENIXA	55	US	Yes	
TiagoDelas08	59	PT	Yes	
AsteraFP	85	US	Yes	
Mr_Traszka	71	PL	Yes	
DagheXMunegu	110	FR	Yes	
Teuzin k9	110	BR	Yes	
TheRealMatrix	45	US	Yes	
Jbird-Mnstrek	101	US	Yes	
SpirantParrot45	73	US	Yes	
baz8034	62	GB	Yes	
Reptileboy8020	85	US	Yes	
voidtv26	55	IN	Yes	
beezy208	101		Yes	
Spookylogikal	25	GR	No	
nefroxx10	56	AR	Yes	
DavecusPrime	59	US	Yes	
				
TONIO22_X-Series	106	FR	Yes	
				
				
demianx3	58	AR	Yes	
nM.Stepotronic	94	DE	Yes	
Den_Nesta	83	NL	Yes	
dude90	58	ZA	Yes	
THE-Xx-UMBRE-xX	100	CL	Yes	
				
tsukuyxmi	110	UA	Yes	
Alvarox100	26	MX	No	
holyfelf	26	GB	No	
Estep	84	US	Yes	
SpiritedBarnacleWarlord	84	NL	Yes	
Feleflix	23	DE	Yes	
Saez1994	94	ES	Yes	
CheZterX	73	TH	Yes	
Antares_BTB	110	PL	Yes	
NMPhiDelt708	102	US	Yes	
				
fishstick123	108	MY	Yes	
kialq	45	PL	Yes	
DackelGamerHD	92	DE	Yes	
BuggCityEnt	65	US	Yes	
				
PizzaPepp	64	BE	Yes	
Stryker_84	86	UA	Yes	
Pollox12	26	MX	No	
				
1MoDY1	109	EG	No	
ShoebillFisher3	49	US	Yes	
Lil Cousin	32	CA	Yes	
Padok_VT	106	BG	Yes	
				
spudsta	72	US	Yes	
Acceleon	95	ID	Yes	
Swindy02	25	SE	No	
DeaserMK2	81	GB	Yes	
				
Pengunjunhandal69	39	MY	Yes	
yukihiko78	107	JP	Yes	
TenchRay	55	ID	Yes	
Bovineslap	102	US	Yes	
WeedlessWillie	70	CN	No	
SpecialGamer87	86	GB	Yes	
Juicy	34		Yes	
CND_Marksmen	81	CA	Yes	
BlackBassBuster64	95	US	Yes	
lordfudgeem	52	US	Yes	
TelescopicRod	108		Yes	
mickaB	55	FR	Yes	
demonicdragon	97	GB	Yes	
FliXeRiS	11	LT	No	
Gut	9		No	
96Patryk	100	PL	Yes	
RFF-Tomtheflush	109	GB	Yes	
				
DONY2662	110	IT	Yes	
Ala Montana	97	GB	Yes	
best_vindu	100	AR	Yes	
S1KRRDream	23	CA	Yes	
Tim_Tohan	26	US	Yes	
trickertahegao	78	UA	Yes	
Kafik	82	PL	Yes	
BadgerBaba12	110	US	Yes	
gsygod12331	83	GG	Yes	
Boon62	110	FR	Yes	
				
				
Jim_Myers_1975	64	US	Yes	
S4MU3L3219	55	GB	Yes	
Skallagoo	101	CA	Yes	
				
TheDaddyGamerYOUTUBE	109	ES	Yes	
JUANSHOULDINER	57	CO	No	
Phattcat	98	GB	Yes	
Tha dooo4521	60	US	Yes	
Sassman	2	DE	No	
KTMO88	81	US	Yes	
SkIeThOm	21	ZA	No	
JacolinPotato	84	GB	Yes	
ZAINNA	98	ID	Yes	
				
Pops1823	85	US	Yes	
Greenz	93	US	No	
Exono1	16	GB	Yes	
taruMR11	100	AR	No	
Xatxotoni	100	ES	Yes	
no.pvp.ok	100	TH	Yes	
gooner_legend21	30	CY	Yes	
XxDAMIAN190	78	ES	Yes	
hopp	92	CA	Yes	
EL_SALTINE	73	US	Yes	
srdr1977	107	TR	Yes	
LOGANG100	76	US	Yes	
Lomito	54	AR	Yes	
CactusKing27	109	US	No	
				
looleouf44	110	FR	Yes	
Piesior	81	PL	Yes	
kZsolt18	97	HU	Yes	
genekastner	86	US	Yes	
CP_DuduBeder	110	BR	Yes	
VIKLAG57	102	UA	Yes	
NanyaAjaDiBecandain	87	ID	Yes	
vodou61	103	US	Yes	
nd1245	21	US	No	
Profised	32	UA	Yes	
FishermanSumpt	55	US	Yes	
Tarkkis96	36	FI	Yes	
ReturnofBob	64		Yes	
pnwbuddy	68	US	Yes	
rom4ik001	62	UA	Yes	
zoerogamer	4	BR	No	
				
Batiar	72	UA	Yes	
RowdyWs671017	39	US	Yes	
kost1950	81	UA	Yes	
				
Phoxinus	109	GB	Yes	
BassMasterGumer	76	US	Yes	
VGB_Luc	110	IT	Yes	
Wk0lbh1k	110	RU	Yes	
turbolufc1	56	GB	Yes	
FU_Berto56	104	US	Yes	
				
Viktor_Jung	110	UA	Yes	
ReggieCarter	90	RU	Yes	
rabolio41100	108	FR	Yes	
D4rkzge	72	BR	Yes	
ToxicVampire33	60	CA	Yes	
Kevril	103		Yes	
Niszczycielswiatow123	61	PL	Yes	
ovix72	24	IT	No	
Mike	54	LT	Yes	
ximoc1	83		Yes	
sinisterstealth4	54	US	Yes	
SociableBassMaster	103	IN	No	
Ekiplayz82	81	ZA	Yes	
GhostSlayer8648	90	US	Yes	
CFC-SAM-FISHERbr	110	BR	Yes	
mobie1981	106	US	Yes	
durydury	107	PT	Yes	
MinioFr	44	DK	Yes	
BaiterGod106	88	US	Yes	
JoaoCaboz	109	PT	Yes	
Apoleng	110	MY	Yes	
kuna1103	83	PL	Yes	
				
xBISWITx	84	PH	Yes	
Vouli-UA	79	UA	Yes	
PC_CrazedAlpha	62	CA	Yes	
FinalPantasy	19		No	
WoulduRather7	92	GB	Yes	
DHPdude	103	RS	Yes	
NBI129	95	DE	Yes	
Treebeard60	98	GB	Yes	
TTVxBdawgKz	105	US	Yes	
QG_Pedr__oN	110	US	Yes	
kalikaka	59	HU	Yes	
Fuzzy21202	18	US	No	
wodanskrijger	44	NL	Yes	
saintjazzy	83	GB	Yes	
babypike	2	SE	No	
				
RNKLS	110	GB	Yes	
Renatao_EM	105	PT	Yes	
Sewlitop	100	DE	Yes	
nwibilover	43	KW	Yes	
				
JeTei	110	RO	Yes	
Caballo	71	ES	Yes	
Mitsuyebella	109	DK	Yes	
Bianek	65	PL	Yes	
topitapescador08	60	AR	Yes	
ninolarisson	40	FR	Yes	
Zestryn	81	US	Yes	
djack973	110	GF	Yes	
Wazoo	5		No	
cemreficici	105	TR	Yes	
				
runix18	39	RO	Yes	
NightHunter12	102	US	Yes	
0_mystiq_0	30	IL	No	
BB_Vanilla-Ice-Milk	96	KR	Yes	
WmgSaint	30		Yes	
Egrick	49	UA	Yes	
HappyHoodz	92	US	Yes	
b4dBw0y	84	DE	Yes	
bennyberrios	107	US	Yes	
Tasos_man	80	NO	Yes	
Pifmaister	67	CZ	Yes	
Velfegor	106	BG	Yes	
