t0	t1	slot	cyc	sec	end	species	fishId	kg	len	stamina	exp	expOf	dist	rodLen	fric	reelDur	boatSpeed	nan	tireWarn	putOnStand	moves	fastReeling	finishMove
2026-09-05T18:16:10.206Z	2026-09-05T18:24:19.624Z	1	7	489.4	cycle_finished								297.9	1.8	12	49069	0.120	0	0	1	62		1
2026-09-06T05:38:36.697Z	2026-09-06T05:44:01.170Z	1	1	324.5	caught	EuropeanSeaSturgeon	5309	105.699	2.601	0.7712827	18404	9830	25.1	2.1	11	68037	0.040	0	3	0	248	5	1
2026-09-06T05:50:01.862Z	2026-09-06T05:50:09.534Z	1	1	7.7	caught	EuropeanSeaSturgeonT	5310	151.517	3.212	0.998306	34170	15985	49.2	2.1	11	67126	0.037	0	0	0	753		1
2026-09-06T05:55:19.835Z	2026-09-06T05:55:22.679Z	1	2	2.8	caught	EuropeanHake	5267	2.921	0.784	0.986535	477	635	55.9	2.1	11	67106	0.049	0	0	0	1001		1
2026-09-06T05:56:10.125Z	2026-09-06T05:56:16.062Z	1	3	5.9	caught	EuropeanSeaSturgeonY	5308	33.300	1.683	0.9957507	2475	2523	49.5	2.1	11	67092	0.017	0	0	0	599	35	1
2026-09-06T06:07:14.345Z	2026-09-06T06:07:21.126Z	1	5	6.8	caught	EuropeanSeaSturgeonY	5308	37.221	1.781	0.9957177	3785	2820	44.1	2.1	11	67059	0.015	0	0	0	1198		1
2026-09-06T06:10:38.281Z	2026-09-06T06:10:46.313Z	1	6	8.0	caught	EuropeanSeaSturgeon	5309	117.041	2.703	0.9978243	21605	10884	38.3	2.1	11	67036	0.048	0	0	0	834	1	1
2026-09-06T06:12:47.654Z	2026-09-06T06:12:52.623Z	1	7	5.0	caught	EuropeanSeaSturgeonU	5311	380.371	4.853	1	157899	70177	47.2	2.1	11	67011	0.036	0	0	0	283		1
2026-09-06T06:22:33.653Z	2026-09-06T06:22:39.934Z	1	8	6.3	caught	EuropeanHakeT	5268	6.450	1.059	0.9973271	1898	2529	54.6	2.1	11	66994	0.011	0	0	0	2258		1
2026-09-06T06:28:29.962Z	2026-09-06T06:28:35.666Z	1	9	5.7	caught	EuropeanSeaSturgeonY	5308	39.492	1.837	0.9967253	4371	2992	57.0	2.1	11	66971	0.001	0	0	0	652	32	1
2026-09-06T06:33:25.975Z	2026-09-06T06:33:32.897Z	1	11	6.9	caught	EuropeanSeaSturgeon	5309	122.263	2.750	0.9985171	23055	11370	48.0	2.1	11	66939	0.008	0	0	0	691		1
2026-09-06T06:58:04.076Z	2026-09-06T07:05:41.118Z	2	9	457.0	caught	NilePerchT	4570	126.178	1.865	0.5405261	24762	11082	21.9	2.2	7	38410	0.005	0	5	0	184		1
2026-09-06T07:29:54.993Z	2026-09-06T07:30:39.526Z	2	21	44.5	FishGoneOther Fish escaped on wrong striki								34.1	2.2	7	36434	0.003	0	0	0	298	36	1
2026-09-06T07:33:07.866Z	2026-09-06T07:33:24.257Z	2	1	16.4	caught	NilePerchT	4570	110.142	1.801	0.986791	21213	9674	27.6	2.2	7	36350	0.002	0	1	0	57	8	1
2026-09-06T07:33:42.344Z	2026-09-06T07:33:58.891Z	2	2	16.5	caught	NilePerch	4560	77.081	1.660	0.9830399	10410	4871	40.2	2.2	7	36289	0.002	0	1	0	166	7	1
2026-09-06T07:35:18.868Z	2026-09-06T07:35:32.768Z	2	4	13.9	caught	NilePerchY	4550	32.974	1.274	0.9728196	1809	1200	32.7	2.2	7	36221	0.001	0	1	0	168	5	1
2026-09-06T07:37:04.564Z	2026-09-06T07:37:11.579Z	2	6	7.0	caught	NilePerchY	4550	28.915	1.200	0.99002	1578	1052	18.4	2.2	7	36164	0.001	0	0	0	178		1
2026-09-06T07:39:27.364Z	2026-09-06T07:39:47.257Z	2	9	19.9	caught	NilePerchU	4580	173.079	1.966	0.9869245	38655	17214	35.2	2.2	7	36118	0.002	0	1	0	194		1
2026-09-06T07:41:26.087Z	2026-09-06T07:41:35.915Z	2	11	9.8	caught	NilePerchT	4570	93.790	1.735	0.9906216	15042	8238	11.4	2.2	7	36037	0.002	0	1	0	176	4	1
2026-09-06T07:47:30.526Z	2026-09-06T07:47:37.339Z	2	4	6.8	caught	NilePerchY	4550	25.841	1.145	0.9899543	1412	941	20.4	2.2	7	35967	0.002	0	0	0	185		1
2026-09-06T07:48:42.236Z	2026-09-06T07:48:55.887Z	2	6	13.7	caught	NilePerchY	4550	29.655	1.214	0.9809763	1619	1079	42.0	2.2	7	35933	0.006	0	0	0	178	4	1
2026-09-06T07:53:48.631Z	2026-09-06T07:53:53.929Z	2	11	5.3	caught	NilePerchY	4550	26.378	1.155	0.9898273	1440	960	14.0	2.2	7	35844	0.002	0	0	0	145		1
2026-09-06T07:54:17.361Z	2026-09-06T07:54:29.275Z	2	12	11.9	caught	NilePerchY	4550	33.805	1.288	0.9919549	1866	1230	35.0	2.2	7	35820	0.001	0	0	0	53		1
2026-09-06T07:54:46.716Z	2026-09-06T07:55:08.124Z	2	13	21.4	caught	NilePerch	4560	61.402	1.550	0.9742056	7523	3881	40.2	2.2	7	35776	0.004	0	1	0	176	4	1
2026-09-06T07:57:14.421Z	2026-09-06T07:57:30.218Z	2	16	15.8	caught	NilePerch	4560	79.572	1.677	0.9835289	10844	5029	23.5	2.2	7	35679	0.002	0	1	0	191	7	1
2026-09-06T08:54:08.981Z	2026-09-06T08:54:22.778Z	2	2	13.8	caught	NilePerchY	4550	31.356	1.244	0.9910616	1712	1141	38.1	2.2	7	35614	0.001	0	0	0	165	7	1
2026-09-06T08:55:38.401Z	2026-09-06T08:55:54.597Z	2	4	16.2	caught	NilePerch	4560	71.957	1.624	0.9847967	9498	4548	31.2	2.2	7	35556	0.001	0	1	0	183		1
2026-09-06T09:00:40.495Z	2026-09-06T09:00:53.451Z	2	10	13.0	caught	NilePerchT	4570	107.235	1.789	0.9882122	16074	9418	9.4	2.2	7	35447	0.001	0	1	0	17		1
