n_g,n_s,n_b,promoted,TP,precision_LB,recall,F1
14,13,19,240,26,0.10833333333333334,0.3058823529411765,0.16
14,13,20,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,21,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,22,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,23,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,24,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,25,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,26,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,27,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,28,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,29,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,13,30,238,26,0.1092436974789916,0.3058823529411765,0.1609907120743034
14,14,3,2328,65,0.027920962199312716,0.7647058823529411,0.05387484459179445
14,14,4,1552,59,0.03801546391752577,0.6941176470588235,0.07208307880268784
14,14,5,1128,55,0.04875886524822695,0.6470588235294118,0.09068425391591096
14,14,6,844,49,0.058056872037914695,0.5764705882352941,0.10548977395048441
14,14,7,659,47,0.07132018209408195,0.5529411764705883,0.12634408602150538
14,14,8,526,44,0.08365019011406843,0.5176470588235295,0.14402618657937807
14,14,9,431,41,0.0951276102088167,0.4823529411764706,0.15891472868217055
14,14,10,371,35,0.09433962264150944,0.4117647058823529,0.15350877192982457
14,14,11,327,30,0.09174311926605505,0.35294117647058826,0.14563106796116507
14,14,12,300,30,0.1,0.35294117647058826,0.15584415584415584
14,14,13,278,29,0.10431654676258993,0.3411764705882353,0.15977961432506887
14,14,14,258,29,0.1124031007751938,0.3411764705882353,0.16909620991253643
14,14,15,243,28,0.11522633744855967,0.32941176470588235,0.17073170731707318
14,14,16,236,27,0.11440677966101695,0.3176470588235294,0.16822429906542055
14,14,17,232,27,0.11637931034482758,0.3176470588235294,0.17034700315457413
14,14,18,230,27,0.11739130434782609,0.3176470588235294,0.17142857142857143
14,14,19,227,26,0.1145374449339207,0.3058823529411765,0.16666666666666669
14,14,20,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,21,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,22,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,23,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,24,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,25,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,26,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,27,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,28,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,29,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,14,30,225,26,0.11555555555555555,0.3058823529411765,0.16774193548387098
14,15,3,2328,65,0.027920962199312716,0.7647058823529411,0.05387484459179445
14,15,4,1550,59,0.03806451612903226,0.6941176470588235,0.07217125382262997
14,15,5,1126,55,0.04884547069271759,0.6470588235294118,0.09083402146985961
14,15,6,841,49,0.05826397146254459,0.5764705882352941,0.10583153347732181
14,15,7,655,46,0.07022900763358779,0.5411764705882353,0.12432432432432433
14,15,8,521,43,0.08253358925143954,0.5058823529411764,0.1419141914191419
14,15,9,426,40,0.09389671361502347,0.47058823529411764,0.15655577299412915
14,15,10,366,34,0.09289617486338798,0.4,0.15077605321507762
14,15,11,322,29,0.09006211180124224,0.3411764705882353,0.14250614250614252
14,15,12,294,29,0.09863945578231292,0.3411764705882353,0.15303430079155672
14,15,13,269,28,0.10408921933085502,0.32941176470588235,0.1581920903954802
14,15,14,248,28,0.11290322580645161,0.32941176470588235,0.16816816816816818
14,15,15,233,27,0.11587982832618025,0.3176470588235294,0.16981132075471697
14,15,16,224,26,0.11607142857142858,0.3058823529411765,0.16828478964401294
