n_g,n_s,n_b,promoted,TP,precision_LB,recall,F1
2,5,3,136,51,0.375,0.6455696202531646,0.47441860465116287
2,5,4,121,51,0.4214876033057851,0.6455696202531646,0.5099999999999999
2,5,5,119,50,0.42016806722689076,0.6329113924050633,0.5050505050505051
2,5,6,118,50,0.423728813559322,0.6329113924050633,0.5076142131979695
2,5,7,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,8,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,9,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,10,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,11,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,12,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,13,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,14,117,49,0.4188034188034188,0.620253164556962,0.5
2,5,15,117,49,0.4188034188034188,0.620253164556962,0.5
2,6,1,4543,64,0.01408760730794629,0.810126582278481,0.02769363911726525
2,6,2,284,55,0.1936619718309859,0.6962025316455697,0.30303030303030304
2,6,3,134,50,0.373134328358209,0.6329113924050633,0.46948356807511743
2,6,4,117,48,0.41025641025641024,0.6075949367088608,0.4897959183673469
2,6,5,115,47,0.40869565217391307,0.5949367088607594,0.48453608247422686
2,6,6,114,47,0.41228070175438597,0.5949367088607594,0.48704663212435234
2,6,7,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,8,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,9,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,10,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,11,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,12,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,13,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,14,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,6,15,113,46,0.40707964601769914,0.5822784810126582,0.4791666666666667
2,7,1,4543,64,0.01408760730794629,0.810126582278481,0.02769363911726525
2,7,2,284,55,0.1936619718309859,0.6962025316455697,0.30303030303030304
2,7,3,134,50,0.373134328358209,0.6329113924050633,0.46948356807511743
2,7,4,117,48,0.41025641025641024,0.6075949367088608,0.4897959183673469
2,7,5,115,47,0.40869565217391307,0.5949367088607594,0.48453608247422686
2,7,6,114,47,0.41228070175438597,0.5949367088607594,0.48704663212435234
